order_id,created_time,delivered_time,customer_node,quantity,warehouse_id,warehouse_node,vehicle_id,travel_distance,travel_time,delay,stockout,cost
0,22.792959975294107,47.18754527675682,C10,4,W2,W2,V2,24.144585301462712,24.394585301462712,24.394585301462715,0,24.144585301462712
2,47.875653703666906,67.95159626454382,C3,3,W1,W1,V1,19.825942560876918,20.075942560876918,20.075942560876918,0,19.825942560876918
1,42.23415519017571,70.47363017707484,C11,1,W2,W2,V2,23.036084900318016,23.286084900318016,28.239474986899125,0,23.036084900318016
4,55.74092343406444,72.84292505233392,C2,4,W0,W0,V0,16.852001618269476,17.102001618269476,17.102001618269483,0,16.852001618269476
3,51.56201013262089,84.12539455998757,C6,2,W2,W2,V2,13.401764382912727,13.651764382912727,32.56338442736668,0,13.401764382912727
5,61.28785654021482,102.0137275045858,C0,3,W2,W2,V2,17.638332944598236,17.888332944598236,40.72587096437098,0,17.638332944598236
6,61.55865206383357,107.59062848482009,C1,5,W2,W2,V2,5.326900980234284,5.576900980234284,46.03197642098652,0,5.326900980234284
7,89.5198736668842,110.68715864946769,C8,6,W0,W0,V3,20.917284982583496,21.167284982583496,21.167284982583496,0,20.917284982583496
8,96.55676320705564,111.96446300196486,C7,2,W1,W1,V4,15.15769979490922,15.40769979490922,15.40769979490922,0,15.15769979490922
9,98.98712646416286,132.04040556284178,C3,5,W1,W1,V4,19.825942560876918,20.075942560876918,33.05327909867893,0,19.825942560876918
10,122.0898780713943,153.6848456620295,C2,4,W1,W1,V4,21.39444009918769,21.64444009918769,31.594967590635193,0,21.39444009918769
14,143.13796976314984,154.0417717236184,C1,4,W2,W2,V2,10.653801960468568,10.903801960468568,10.90380196046857,0,10.653801960468568
11,122.7206739454075,171.69707794075973,C6,3,W1,W1,V4,17.762232278730245,18.012232278730245,48.97640399535223,0,17.762232278730245
16,151.19776997800636,171.93010466821664,C0,2,W2,W2,V2,17.638332944598236,17.888332944598236,20.73233469021028,0,17.638332944598236
17,158.11778097556592,189.81843761281488,C0,3,W2,W2,V2,17.638332944598236,17.888332944598236,31.700656637248954,0,17.638332944598236
18,164.6896734266945,195.39533859304916,C1,3,W2,W2,V2,5.326900980234284,5.576900980234284,30.705665166354663,0,5.326900980234284
